,v20_vs_em,v20_vs_sina
relative_err_open,0.015318937638400854,0.014604836040292186
relative_err_high,0.014756307114137295,0.013290459568641907
relative_err_low,0.014267073440983621,0.01298743126029685
relative_err_close,0.016257520522207976,0.01593825463217206
relative_err_volume,0.022926957861003357,0.01624339873165374
relative_err_amount,0.12698977241402748,
