,v10_vs_em,v10_vs_sina
relative_err_open,0.01531918448724593,0.014605081428630201
relative_err_high,0.01475631756173128,0.01329046894192737
relative_err_low,0.014267319545099683,0.012987675507937162
relative_err_close,0.01625753203267413,0.015938265872852617
relative_err_volume,0.5503606817056518,0.5480431112183108
relative_err_amount,0.1270639007095044,
