,v11_vs_em,v11_vs_sina
relative_err_open,0.015318937638400854,0.014604836040292186
relative_err_high,0.014756307114137295,0.013290459568641907
relative_err_low,0.014267073440983621,0.01298743126029685
relative_err_close,0.016257520522207976,0.01593825463217206
relative_err_volume,0.5502788490335334,0.5479558166389576
relative_err_amount,0.12698977241402748,
